,Genome,Order,Family,Genus,VC,VC Status,Size,VC Subcluster,VC Subcluster Size,Quality,Adj P-value,Topology Confidence Score,Genera in VC,Families in VC,Orders in VC,Genus Confidence Score
1168,BAY4_V__6413,Unassigned,Unassigned,Unassigned,389_0,Clustered/Singleton,1,VC_389_0,1,0.0,1.0,0.0,1,1,1,1.0
1169,BAY4_V__6492,Unassigned,Unassigned,Unassigned,751_0,Clustered/Singleton,1,VC_751_0,1,0.0,1.0,0.0,1,1,1,1.0
1170,BAY4_V__67,Unassigned,Unassigned,Unassigned,392_0,Clustered,2,VC_392_0,2,0.4016,0.94464159,0.3794,1,1,1,1.0
1171,BAY4_V__6717,Unassigned,Unassigned,Unassigned,242_0,Clustered,2,VC_242_0,2,0.1053,0.9232118,0.0972,1,1,1,1.0
1172,BAY4_V__7209,Unassigned,Unassigned,Unassigned,1291_0,Clustered,2,VC_1291_0,2,0.7658,0.5,0.3829,1,1,1,1.0
1173,BAY4_V__7345,Unassigned,Unassigned,Unassigned,1048_0,Clustered,4,VC_1048_0,4,0.5847,0.97408504,0.5695,1,1,1,1.0
1174,BAY4_V__7553,Unassigned,Unassigned,Unassigned,18_0,Clustered/Singleton,1,VC_18_0,1,0.0,1.0,0.0,1,1,1,1.0
1175,BAY4_V__8162,Unassigned,Unassigned,Unassigned,727_0,Clustered,3,VC_727_0,3,0.9046,0.72985431,0.6602,1,1,1,1.0
1176,BAY4_V__8341,Unassigned,Unassigned,Unassigned,502_0,Clustered,2,VC_502_0,2,0.0253,0.52763952,0.0134,1,1,1,1.0
1177,BAY4_V__858,Unassigned,Unassigned,Unassigned,601_0,Clustered,3,VC_601_0,3,0.3903,0.86921388,0.3392,1,1,1,1.0
1178,BAY4_V__8615,Unassigned,Unassigned,Unassigned,1315_0,Clustered,2,VC_1315_0,2,0.4039,0.85557782,0.3456,1,1,1,1.0
1179,BAY4_V__9432,Unassigned,Unassigned,Unassigned,1145_0,Clustered,10,VC_1145_0,10,0.6258,0.99765196,0.6243,1,1,1,1.0
1180,BAY4_V__9484,Unassigned,Unassigned,Unassigned,1342_0,Clustered,2,VC_1342_0,2,0.2306,0.77337265,0.1784,1,1,1,1.0
1181,BAY4_V__9738,Unassigned,Unassigned,Unassigned,721_0,Clustered,3,VC_721_0,3,0.0891,0.9940452,0.0886,1,1,1,1.0
1182,BAY4_V__98,Unassigned,Unassigned,Unassigned,600_0,Clustered,5,VC_600_0,5,0.4607,0.99998195,0.4607,1,1,1,1.0
1183,BAY6_V__1001,Unassigned,Unassigned,Unassigned,649_0,Clustered,17,VC_649_0,17,0.5497,1.0,0.5497,1,1,1,1.0
1184,BAY6_V__1230,Unassigned,Unassigned,Unassigned,207_1,Clustered,3,VC_207_1,3,0.0978,0.9984839,0.0976,1,1,1,1.0
1185,BAY6_V__1638,Unassigned,Unassigned,Unassigned,148_0,Clustered,3,VC_148_0,3,0.128,0.96806535,0.1239,1,1,1,1.0
1186,BAY6_V__1650,Unassigned,Unassigned,Unassigned,58_0,Clustered,30,VC_58_0,30,0.298,1.0,0.298,1,1,1,1.0
1187,BAY6_V__2,Unassigned,Unassigned,Unassigned,39_3,Clustered/Singleton,1,VC_39_3,1,0.0,1.0,0.0,1,1,1,1.0
1188,BAY6_V__2688,Unassigned,Unassigned,Unassigned,575_0,Clustered,2,VC_575_0,2,0.0947,0.95012223,0.0899,1,1,1,1.0
1189,BAY6_V__2935,Unassigned,Unassigned,Unassigned,113_0,Clustered,4,VC_113_0,4,0.2218,0.9999856,0.2218,1,1,1,1.0
1190,BAY6_V__3257,Unassigned,Unassigned,Unassigned,65_0,Clustered,6,VC_65_0,6,0.2589,0.99771087,0.2583,1,1,1,1.0
1191,BAY6_V__4177,Unassigned,Unassigned,Unassigned,492_0,Clustered,2,VC_492_0,2,0.3199,0.95350284,0.305,1,1,1,1.0
1192,BAY6_V__4694,Unassigned,Unassigned,Unassigned,585_0,Clustered,3,VC_585_0,3,0.1028,0.98038613,0.1008,1,1,1,1.0
1193,BAY6_V__4835,Unassigned,Unassigned,Unassigned,732_0,Clustered,2,VC_732_0,2,0.2485,0.93865445,0.2333,1,1,1,1.0
1194,BAY6_V__5248,Unassigned,Unassigned,Unassigned,651_0,Clustered,2,VC_651_0,2,0.4006,0.72985431,0.2924,1,1,1,1.0
1195,BAY6_V__546,Unassigned,Unassigned,Unassigned,1343_0,Clustered,2,VC_1343_0,2,1.0,1.0,1.0,1,1,1,1.0
1196,BAY6_V__5578,Unassigned,Unassigned,Unassigned,128_0,Clustered/Singleton,1,VC_128_0,1,0.0,1.0,0.0,1,1,1,1.0
1197,BAY6_V__579,Unassigned,Unassigned,Unassigned,108_0,Clustered,32,VC_108_0,32,0.7011,1.0,0.7011,2,2,2,0.9758
1198,BAY6_V__5957,Unassigned,Unassigned,Unassigned,941_0,Clustered,2,VC_941_0,2,0.0326,0.77581716,0.0253,1,1,1,1.0
1199,BAY6_V__6163,Unassigned,Unassigned,Unassigned,207_0,Clustered,22,VC_207_0,22,0.4255,1.0,0.4255,2,2,2,0.8009
1200,BAY6_V__7237,Unassigned,Unassigned,Unassigned,699_0,Clustered,2,VC_699_0,2,0.4433,0.81445332,0.361,1,1,1,1.0
1201,BAY6_V__744,Unassigned,Unassigned,Unassigned,410_0,Clustered,7,VC_410_0,7,0.1654,1.0,0.1654,1,1,1,0.9048
1202,BAY6_V__8353,Unassigned,Unassigned,Unassigned,1344_0,Clustered,4,VC_1344_0,4,1.0,1.0,1.0,1,1,1,1.0
1203,BAY6_V__8544,Unassigned,Unassigned,Unassigned,1345_0,Clustered,2,VC_1345_0,2,1.0,1.0,1.0,1,1,1,1.0
1204,BAY6_V__8595,Unassigned,Unassigned,Unassigned,177_0,Clustered,2,VC_177_0,2,0.0635,0.8820484,0.056,1,1,1,1.0
1205,BAY6_V__8990,Unassigned,Unassigned,Unassigned,188_0,Clustered,3,VC_188_0,3,0.2206,0.74199853,0.1637,1,1,1,1.0
1206,BAY6_V__9542,Unassigned,Unassigned,Unassigned,287_0,Clustered/Singleton,1,VC_287_0,1,0.0,1.0,0.0,1,1,1,1.0
1207,BAY6_V__997,Unassigned,Unassigned,Unassigned,1391_0,Clustered,2,VC_1391_0,2,0.0772,0.95708605,0.0739,1,1,1,1.0
1208,BAY9_V__1684,Unassigned,Unassigned,Unassigned,195_0,Clustered,4,VC_195_0,4,0.3154,0.99561592,0.314,1,1,1,1.0
1209,BAY9_V__3637,Unassigned,Unassigned,Unassigned,1122_0,Clustered,9,VC_1122_0,9,0.1402,0.5430646,0.0762,1,3,2,1.0
1210,BAY9_V__4579,Unassigned,Unassigned,Unassigned,312_0,Clustered,3,VC_312_0,3,0.3961,0.99682571,0.3949,1,1,1,1.0
1211,BAY9_V__6440,Unassigned,Unassigned,Unassigned,21_1,Clustered/Singleton,1,VC_21_1,1,0.0,1.0,0.0,1,1,1,1.0
1212,BAY9_V__8274,Unassigned,Unassigned,Unassigned,588_0,Clustered,3,VC_588_0,3,0.5327,0.99509929,0.5301,1,1,1,1.0
1213,BBD0_V__10069,Unassigned,Unassigned,Unassigned,210_0,Clustered,14,VC_210_0,14,0.2373,1.0,0.2373,1,2,2,0.8901
1214,BBD0_V__10076,Unassigned,Unassigned,Unassigned,1003_0,Clustered,5,VC_1003_0,5,0.4037,0.99850645,0.4031,1,1,1,1.0
1215,BBD0_V__1014,Unassigned,Unassigned,Unassigned,877_0,Clustered,14,VC_877_0,14,0.4167,0.99999999,0.4167,1,1,1,1.0
1216,BBD0_V__10156,Unassigned,Unassigned,Unassigned,835_0,Clustered,2,VC_835_0,2,0.1603,0.72985431,0.117,1,1,1,1.0
1217,BBD0_V__10158,Unassigned,Unassigned,Unassigned,1348_0,Clustered/Singleton,1,VC_1348_0,1,0.0,1.0,0.0,1,1,1,1.0
1218,BBD0_V__10321,Unassigned,Unassigned,Unassigned,1187_0,Clustered,3,VC_1187_0,3,0.5427,0.81162044,0.4405,1,1,1,1.0
1219,BBD0_V__1292,Unassigned,Unassigned,Unassigned,203_0,Clustered,7,VC_203_0,7,0.0705,0.99999785,0.0705,1,1,1,0.8571
1220,BBD0_V__1419,Unassigned,Unassigned,Unassigned,1349_0,Clustered,2,VC_1349_0,2,0.6883,0.5,0.3442,1,1,1,1.0
1221,BBD0_V__1500,Unassigned,Unassigned,Unassigned,972_0,Clustered,2,VC_972_0,2,0.1185,0.7754114,0.0919,1,1,1,1.0
1222,BBD0_V__1650,Unassigned,Unassigned,Unassigned,1118_0,Clustered,3,VC_1118_0,3,0.1897,0.7943431,0.1507,1,1,1,1.0
1223,BBD0_V__2325,Unassigned,Unassigned,Unassigned,1350_0,Clustered/Singleton,1,VC_1350_0,1,0.0,1.0,0.0,1,1,1,1.0
1224,BBD0_V__2364,Unassigned,Unassigned,Unassigned,1345_0,Clustered,2,VC_1345_0,2,1.0,1.0,1.0,1,1,1,1.0
1225,BBD0_V__2511,Unassigned,Unassigned,Unassigned,58_0,Clustered,30,VC_58_0,30,0.298,1.0,0.298,1,1,1,1.0
1226,BBD0_V__2930,Unassigned,Unassigned,Unassigned,590_0,Clustered,4,VC_590_0,4,0.403,0.99997568,0.403,1,1,1,1.0
1227,BBD0_V__2973,Unassigned,Unassigned,Unassigned,657_0,Clustered,3,VC_657_0,3,1.0,1.0,1.0,1,1,1,1.0
1228,BBD0_V__3061,Unassigned,Unassigned,Unassigned,857_0,Clustered,4,VC_857_0,4,0.6895,0.99967849,0.6893,1,1,1,1.0
1229,BBD0_V__3650,Unassigned,Unassigned,Unassigned,99_0,Clustered,24,VC_99_0,24,0.4493,1.0,0.4493,1,3,2,0.9493
1230,BBD0_V__3931,Unassigned,Unassigned,Unassigned,1287_0,Clustered,2,VC_1287_0,2,0.2469,0.72090768,0.178,1,1,1,1.0
1231,BBD0_V__3948,Unassigned,Unassigned,Unassigned,671_0,Clustered,6,VC_671_0,6,0.6027,0.99993922,0.6026,1,1,1,1.0
1232,BBD0_V__4358,Unassigned,Unassigned,Unassigned,1352_0,Clustered,2,VC_1352_0,2,1.0,1.0,1.0,1,1,1,1.0
1233,BBD0_V__4380,Unassigned,Unassigned,Unassigned,88_0,Clustered,2,VC_88_0,2,0.0598,0.94508499,0.0565,1,1,1,1.0
1234,BBD0_V__4385,Unassigned,Unassigned,Unassigned,628_0,Clustered,3,VC_628_0,3,0.4508,0.99693199,0.4494,1,1,1,1.0
1235,BBD0_V__46,Unassigned,Unassigned,Unassigned,237_0,Clustered,4,VC_237_0,4,0.5225,0.9999594,0.5225,1,1,1,1.0
1236,BBD0_V__4727,Unassigned,Unassigned,Unassigned,1354_0,Clustered,2,VC_1354_0,2,1.0,1.0,1.0,1,1,1,1.0
1237,BBD0_V__5970,Unassigned,Unassigned,Unassigned,877_0,Clustered,14,VC_877_0,14,0.4167,0.99999999,0.4167,1,1,1,1.0
1238,BBD0_V__5982,Unassigned,Unassigned,Unassigned,60_0,Clustered,5,VC_60_0,5,0.1835,0.99984822,0.1835,1,1,1,1.0
1239,BBD0_V__6001,Unassigned,Unassigned,Unassigned,58_0,Clustered,30,VC_58_0,30,0.298,1.0,0.298,1,1,1,1.0
1240,BBD0_V__6116,Unassigned,Unassigned,Unassigned,490_0,Clustered,10,VC_490_0,10,0.3345,0.99990165,0.3345,1,1,1,1.0
1241,BBD0_V__621,Unassigned,Unassigned,Unassigned,931_0,Clustered,2,VC_931_0,2,0.1164,0.68237185,0.0794,1,1,1,1.0
1242,BBD0_V__6233,Unassigned,Unassigned,Unassigned,1355_0,Clustered,2,VC_1355_0,2,0.7116,0.5,0.3558,1,1,1,1.0
1243,BBD0_V__6358,Unassigned,Unassigned,Unassigned,1356_0,Clustered,3,VC_1356_0,3,0.5269,0.5,0.2634,1,1,1,1.0
1244,BBD0_V__6435,Unassigned,Unassigned,Unassigned,3_3,Clustered/Singleton,1,VC_3_3,1,0.0,1.0,0.0,1,1,1,1.0
1245,BBD0_V__6736,Unassigned,Unassigned,Unassigned,135_0,Clustered,7,VC_135_0,7,0.1906,0.99995129,0.1906,1,1,1,1.0
1246,BBD0_V__6887,Unassigned,Unassigned,Unassigned,1357_0,Clustered,3,VC_1357_0,3,0.43,0.72450751,0.3116,1,1,1,1.0
1247,BBD0_V__6889,Unassigned,Unassigned,Unassigned,289_0,Clustered,2,VC_289_0,2,0.0905,0.95492454,0.0864,1,1,1,1.0
1248,BBD0_V__6939,Unassigned,Unassigned,Unassigned,108_0,Clustered,32,VC_108_0,32,0.7011,1.0,0.7011,2,2,2,0.9758
1249,BBD0_V__7223,Unassigned,Unassigned,Unassigned,603_0,Clustered,3,VC_603_0,3,0.4816,0.99423001,0.4788,1,1,1,1.0
1250,BBD0_V__7335,Unassigned,Unassigned,Unassigned,1003_0,Clustered,5,VC_1003_0,5,0.4037,0.99850645,0.4031,1,1,1,1.0
1251,BBD0_V__7547,Unassigned,Unassigned,Unassigned,752_0,Clustered,4,VC_752_0,4,0.8507,0.9355158,0.7958,1,1,1,1.0
1252,BBD0_V__7679,Unassigned,Unassigned,Unassigned,1358_0,Clustered,2,VC_1358_0,2,0.8417,0.5,0.4208,1,1,1,1.0
1253,BBD0_V__8158,Unassigned,Unassigned,Unassigned,397_0,Clustered,4,VC_397_0,4,0.1404,0.98957437,0.139,1,1,1,1.0
1254,BBD0_V__8253,Unassigned,Unassigned,Unassigned,316_0,Clustered,8,VC_316_0,8,0.0794,0.99999998,0.0794,1,1,1,1.0
1255,BBD0_V__8319,Unassigned,Unassigned,Unassigned,1115_0,Clustered,3,VC_1115_0,3,0.2228,0.99639608,0.222,1,1,1,1.0
1256,BBD0_V__8365,Unassigned,Unassigned,Unassigned,1126_0,Clustered,3,VC_1126_0,3,0.6045,0.98674986,0.5965,1,1,1,1.0
1257,BBD0_V__8676,Unassigned,Unassigned,Unassigned,65_0,Clustered,6,VC_65_0,6,0.2589,0.99771087,0.2583,1,1,1,1.0
1258,BBD0_V__8768,Unassigned,Unassigned,Unassigned,3_2,Clustered,5,VC_3_2,5,0.186,0.99999614,0.186,1,1,1,0.8
1259,BBD0_V__8795,Unassigned,Unassigned,Unassigned,232_0,Clustered,2,VC_232_0,2,0.3599,0.89847992,0.3233,1,1,1,1.0
1260,BBD0_V__9052,Unassigned,Unassigned,Unassigned,411_0,Clustered,4,VC_411_0,4,0.3534,0.99961842,0.3533,1,1,1,1.0
1261,BBD0_V__9135,Unassigned,Unassigned,Unassigned,193_0,Clustered,2,VC_193_0,2,0.0365,0.5,0.0183,1,1,1,1.0
1262,BBD0_V__9212,Unassigned,Unassigned,Unassigned,1332_0,Clustered,3,VC_1332_0,3,0.7192,0.72985431,0.5249,1,1,1,1.0
1263,BBD0_V__9533,Unassigned,Unassigned,Unassigned,769_0,Clustered,3,VC_769_0,3,0.0988,0.66877413,0.0661,1,1,1,1.0
1264,BBD0_V__9732,Unassigned,Unassigned,Unassigned,184_0,Clustered/Singleton,1,VC_184_0,1,0.0,1.0,0.0,1,1,1,1.0
1265,BBD1_V__10042,Unassigned,Unassigned,Unassigned,513_0,Clustered,3,VC_513_0,3,0.2125,0.55819127,0.1186,1,1,1,1.0
1266,BBD1_V__10175,Unassigned,Unassigned,Unassigned,1035_0,Clustered,2,VC_1035_0,2,0.4379,0.91813282,0.402,1,1,1,1.0
1267,BBD1_V__10235,Unassigned,Unassigned,Unassigned,357_0,Clustered,18,VC_357_0,18,0.5399,1.0,0.5399,3,2,2,0.9869
1268,BBD1_V__1216,Unassigned,Unassigned,Unassigned,624_0,Clustered,2,VC_624_0,2,0.2158,0.94964888,0.2049,1,1,1,1.0
1269,BBD1_V__1536,Unassigned,Unassigned,Unassigned,225_0,Clustered,2,VC_225_0,2,0.2999,0.95208246,0.2856,1,1,1,1.0
1270,BBD1_V__1606,Unassigned,Unassigned,Unassigned,1360_0,Clustered,2,VC_1360_0,2,1.0,1.0,1.0,1,1,1,1.0
1271,BBD1_V__1888,Unassigned,Unassigned,Unassigned,1136_0,Clustered,2,VC_1136_0,2,0.058,0.53636776,0.0311,1,1,1,1.0
1272,BBD1_V__2031,Unassigned,Unassigned,Unassigned,1259_0,Clustered,3,VC_1259_0,3,0.2002,0.9142699,0.183,1,1,1,1.0
1273,BBD1_V__215,Unassigned,Unassigned,Unassigned,989_0,Clustered,4,VC_989_0,4,0.8453,0.98480859,0.8324,1,1,1,1.0
1274,BBD1_V__2236,Unassigned,Unassigned,Unassigned,810_0,Clustered,2,VC_810_0,2,0.0835,0.86921388,0.0726,1,1,1,1.0
1275,BBD1_V__2306,Unassigned,Unassigned,Unassigned,1215_0,Clustered,2,VC_1215_0,2,0.0939,0.86921388,0.0816,1,1,1,1.0
1276,BBD1_V__271,Unassigned,Unassigned,Unassigned,956_0,Clustered,3,VC_956_0,3,0.7987,0.99188498,0.7922,1,1,1,1.0
1277,BBD1_V__3023,Unassigned,Unassigned,Unassigned,181_0,Clustered,20,VC_181_0,20,0.3768,1.0,0.3768,1,1,1,0.9053
1278,BBD1_V__3103,Unassigned,Unassigned,Unassigned,542_0,Clustered,7,VC_542_0,7,0.8621,0.80374429,0.6929,1,1,1,1.0
1279,BBD1_V__315,Unassigned,Unassigned,Unassigned,221_1,Clustered/Singleton,1,VC_221_1,1,0.0,1.0,0.0,1,1,1,1.0
1280,BBD1_V__3598,Unassigned,Unassigned,Unassigned,1363_0,Clustered,2,VC_1363_0,2,1.0,1.0,1.0,1,1,1,1.0
1281,BBD1_V__3671,Unassigned,Unassigned,Unassigned,1144_0,Clustered,3,VC_1144_0,3,0.5466,0.89203753,0.4876,1,1,1,1.0
1282,BBD1_V__3819,Unassigned,Unassigned,Unassigned,989_0,Clustered,4,VC_989_0,4,0.8453,0.98480859,0.8324,1,1,1,1.0
1283,BBD1_V__3860,Unassigned,Unassigned,Unassigned,1364_0,Clustered,2,VC_1364_0,2,1.0,1.0,1.0,1,1,1,1.0
1284,BBD1_V__4182,Unassigned,Unassigned,Unassigned,1280_0,Clustered,2,VC_1280_0,2,0.5191,0.92310481,0.4792,1,1,1,1.0
1285,BBD1_V__422,Unassigned,Unassigned,Unassigned,1318_0,Clustered,3,VC_1318_0,3,0.5638,0.9213504,0.5194,1,1,1,1.0
1286,BBD1_V__4369,Unassigned,Unassigned,Unassigned,983_0,Clustered,8,VC_983_0,8,0.6217,1.0,0.6217,1,1,1,1.0
1287,BBD1_V__4479,Unassigned,Unassigned,Unassigned,929_0,Clustered,2,VC_929_0,2,0.0648,0.5,0.0324,1,1,1,1.0
1288,BBD1_V__4565,Unassigned,Unassigned,Unassigned,53_0,Clustered,4,VC_53_0,4,0.2769,0.99997082,0.2768,1,1,1,1.0
1289,BBD1_V__4747,Unassigned,Unassigned,Unassigned,1365_0,Clustered,2,VC_1365_0,2,1.0,1.0,1.0,1,1,1,1.0
1290,BBD1_V__4811,Unassigned,Unassigned,Unassigned,539_0,Clustered,2,VC_539_0,2,0.6539,0.72985431,0.4773,1,1,1,1.0
1291,BBD1_V__4858,Unassigned,Unassigned,Unassigned,1051_0,Clustered,2,VC_1051_0,2,0.8788,0.5,0.4394,1,1,1,1.0
1292,BBD1_V__5454,Unassigned,Unassigned,Unassigned,239_1,Clustered/Singleton,1,VC_239_1,1,0.0,1.0,0.0,1,1,1,1.0
1293,BBD1_V__5492,Unassigned,Unassigned,Unassigned,611_1,Clustered/Singleton,1,VC_611_1,1,0.0,1.0,0.0,1,1,1,1.0
1294,BBD1_V__5807,Unassigned,Unassigned,Unassigned,1259_0,Clustered,3,VC_1259_0,3,0.2002,0.9142699,0.183,1,1,1,1.0
1295,BBD1_V__5940,Unassigned,Unassigned,Unassigned,370_0,Clustered,3,VC_370_0,3,0.3358,0.99804372,0.3351,1,1,1,1.0
1296,BBD1_V__6034,Unassigned,Unassigned,Unassigned,571_0,Clustered,2,VC_571_0,2,0.0804,0.91549008,0.0736,1,1,1,1.0
1297,BBD1_V__6035,Unassigned,Unassigned,Unassigned,468_0,Clustered,3,VC_468_0,3,0.7543,0.98211496,0.7408,1,1,1,1.0
1298,BBD1_V__605,Unassigned,Unassigned,Unassigned,1367_0,Clustered,2,VC_1367_0,2,1.0,1.0,1.0,1,1,1,1.0
1299,BBD1_V__6066,Unassigned,Unassigned,Unassigned,502_1,Clustered/Singleton,1,VC_502_1,1,0.0,1.0,0.0,1,1,1,1.0
1300,BBD1_V__6463,Unassigned,Unassigned,Unassigned,85_3,Clustered/Singleton,1,VC_85_3,1,0.0,1.0,0.0,1,1,1,1.0
1301,BBD1_V__6526,Unassigned,Unassigned,Unassigned,991_0,Clustered,12,VC_991_0,12,0.6808,1.0,0.6808,2,2,2,1.0
1302,BBD1_V__6568,Unassigned,Unassigned,Unassigned,73_0,Clustered,5,VC_73_0,5,0.2772,0.99916827,0.277,1,1,1,1.0
1303,BBD1_V__6583,Unassigned,Unassigned,Unassigned,477_0,Clustered,2,VC_477_0,2,0.1926,0.72090768,0.1388,1,1,1,1.0
1304,BBD1_V__6651,Unassigned,Unassigned,Unassigned,984_0,Clustered,3,VC_984_0,3,0.1661,0.91608228,0.1521,1,1,1,1.0
1305,BBD1_V__7719,Unassigned,Unassigned,Unassigned,1207_0,Clustered,3,VC_1207_0,3,0.3431,0.5,0.1715,1,1,1,1.0
1306,BBD1_V__7860,Unassigned,Unassigned,Unassigned,531_0,Clustered,5,VC_531_0,5,0.5416,0.99979763,0.5415,1,1,1,1.0
1307,BBD1_V__8023,Unassigned,Unassigned,Unassigned,1368_0,Clustered,2,VC_1368_0,2,1.0,1.0,1.0,1,1,1,1.0
1308,BBD1_V__8026,Unassigned,Unassigned,Unassigned,249_0,Clustered,4,VC_249_0,4,0.4895,0.99882651,0.4889,1,1,1,1.0
1309,BBD1_V__8245,Unassigned,Unassigned,Unassigned,1129_0,Clustered,2,VC_1129_0,2,0.1395,0.5,0.0698,1,1,1,1.0
1310,BBD1_V__841,Unassigned,Unassigned,Unassigned,531_0,Clustered,5,VC_531_0,5,0.5416,0.99979763,0.5415,1,1,1,1.0
1311,BBD1_V__8415,Unassigned,Unassigned,Unassigned,1325_0,Clustered,2,VC_1325_0,2,1.0,1.0,1.0,1,1,1,1.0
1312,BBD1_V__9014,Unassigned,Unassigned,Unassigned,1135_0,Clustered,3,VC_1135_0,3,0.0807,0.62710826,0.0506,1,1,1,1.0
1313,BBD1_V__904,Unassigned,Unassigned,Unassigned,83_0,Clustered,13,VC_83_0,13,0.2792,1.0,0.2792,1,1,1,0.8333
1314,BBD1_V__9234,Unassigned,Unassigned,Unassigned,1202_0,Clustered,5,VC_1202_0,5,0.2793,0.94971171,0.2652,1,1,1,1.0
1315,BBD1_V__9631,Unassigned,Unassigned,Unassigned,1369_0,Clustered,3,VC_1369_0,3,0.6025,0.72985431,0.4398,1,1,1,1.0
1316,BBD1_V__9926,Unassigned,Unassigned,Unassigned,711_0,Clustered,2,VC_711_0,2,0.8251,0.5,0.4125,1,1,1,1.0
1317,BBD2_V__12,Unassigned,Unassigned,Unassigned,37_0,Clustered,6,VC_37_0,6,0.2834,0.99976528,0.2834,1,1,1,0.9333
1318,BBD2_V__141,Unassigned,Unassigned,Unassigned,1371_0,Clustered/Singleton,1,VC_1371_0,1,0.0,1.0,0.0,1,1,1,1.0
1319,BBD2_V__149,Unassigned,Unassigned,Unassigned,93_0,Clustered,15,VC_93_0,15,0.338,1.0,0.338,1,1,1,0.9524
1320,BBD2_V__1536,Unassigned,Unassigned,Unassigned,225_0,Clustered,2,VC_225_0,2,0.2999,0.95208246,0.2856,1,1,1,1.0
1321,BBD2_V__2144,Unassigned,Unassigned,Unassigned,117_6,Clustered/Singleton,1,VC_117_6,1,0.0,1.0,0.0,1,1,1,1.0
1322,BBD2_V__2204,Unassigned,Unassigned,Unassigned,1003_0,Clustered,5,VC_1003_0,5,0.4037,0.99850645,0.4031,1,1,1,1.0
1323,BBD2_V__2310,Unassigned,Unassigned,Unassigned,1373_0,Clustered,2,VC_1373_0,2,0.3319,0.85557782,0.2839,1,1,1,1.0
1324,BBD2_V__2462,Unassigned,Unassigned,Unassigned,1374_0,Clustered/Singleton,1,VC_1374_0,1,0.0,1.0,0.0,1,1,1,1.0
1325,BBD2_V__2863,Unassigned,Unassigned,Unassigned,995_0,Clustered,4,VC_995_0,4,1.0,1.0,1.0,1,1,1,1.0
1326,BBD2_V__3188,Unassigned,Unassigned,Unassigned,612_0,Clustered,22,VC_612_0,22,0.558,1.0,0.558,1,1,1,1.0
1327,BBD2_V__3598,Unassigned,Unassigned,Unassigned,1363_0,Clustered,2,VC_1363_0,2,1.0,1.0,1.0,1,1,1,1.0
1328,BBD2_V__4565,Unassigned,Unassigned,Unassigned,53_0,Clustered,4,VC_53_0,4,0.2769,0.99997082,0.2768,1,1,1,1.0
1329,BBD2_V__4616,Unassigned,Unassigned,Unassigned,1203_0,Clustered,2,VC_1203_0,2,0.2789,0.90478487,0.2523,1,1,1,1.0
1330,BBD2_V__4838,Unassigned,Unassigned,Unassigned,181_0,Clustered,20,VC_181_0,20,0.3768,1.0,0.3768,1,1,1,0.9053
1331,BBD2_V__501,Unassigned,Unassigned,Unassigned,890_0,Clustered,2,VC_890_0,2,0.5345,0.90478487,0.4836,1,1,1,1.0
1332,BBD2_V__5371,Unassigned,Unassigned,Unassigned,830_0,Clustered,3,VC_830_0,3,0.061,0.89606486,0.0547,1,1,1,1.0
1333,BBD2_V__5454,Unassigned,Unassigned,Unassigned,239_2,Clustered/Singleton,1,VC_239_2,1,0.0,1.0,0.0,1,1,1,1.0
1334,BBD2_V__5869,Unassigned,Unassigned,Unassigned,391_0,Clustered,5,VC_391_0,5,0.6152,0.99836769,0.6141,1,1,1,1.0
1335,BBD2_V__6034,Unassigned,Unassigned,Unassigned,1210_0,Clustered,3,VC_1210_0,3,0.4156,0.99677591,0.4143,1,1,1,1.0
1336,BBD2_V__6051,Unassigned,Unassigned,Unassigned,396_0,Clustered,3,VC_396_0,3,0.1172,0.69847452,0.0819,1,1,1,1.0
1337,BBD2_V__6066,Unassigned,Unassigned,Unassigned,502_0,Clustered,2,VC_502_0,2,0.0253,0.52763952,0.0134,1,1,1,1.0
1338,BBD2_V__6204,Unassigned,Unassigned,Unassigned,1146_0,Clustered,6,VC_1146_0,6,0.8793,0.93862048,0.8253,1,2,1,1.0
1339,BBD2_V__7476,Unassigned,Unassigned,Unassigned,1367_0,Clustered,2,VC_1367_0,2,1.0,1.0,1.0,1,1,1,1.0
1340,BBD2_V__7521,Unassigned,Unassigned,Unassigned,165_0,Clustered,3,VC_165_0,3,0.0576,0.67925631,0.0392,1,1,1,1.0
1341,BBD2_V__8023,Unassigned,Unassigned,Unassigned,1368_0,Clustered,2,VC_1368_0,2,1.0,1.0,1.0,1,1,1,1.0
1342,BBD2_V__8026,Unassigned,Unassigned,Unassigned,249_0,Clustered,4,VC_249_0,4,0.4895,0.99882651,0.4889,1,1,1,1.0
1343,BBD2_V__8981,Unassigned,Unassigned,Unassigned,768_0,Clustered,3,VC_768_0,3,0.1408,0.92211563,0.1298,1,1,1,1.0
1344,BBD2_V__9029,Unassigned,Unassigned,Unassigned,803_0,Clustered,9,VC_803_0,9,0.2891,1.0,0.2891,1,3,2,1.0
1345,BBD2_V__9209,Unassigned,Unassigned,Unassigned,155_0,Clustered,5,VC_155_0,5,0.8819,0.96145006,0.8479,1,1,1,1.0
1346,BBD2_V__9322,Unassigned,Unassigned,Unassigned,748_0,Clustered,3,VC_748_0,3,0.1903,0.99747281,0.1899,1,1,1,1.0
1347,BBD6_V__1394,Unassigned,Unassigned,Unassigned,68_0,Clustered,3,VC_68_0,3,0.0822,0.99690268,0.0819,1,1,1,1.0
